chromosome	contact	nucleus
18	97.49669384	constituent
18	98.76949198	constituent
18	94.11405973	constituent
18	97.04969588	constituent
18	96.26834999	constituent
18	98.71226457	constituent
18	96.52413393	constituent
18	98.4523002	constituent
18	95.11109221	constituent
18	98.66779575	constituent
18	85.99711863	constituent
18	91.39172263	constituent
18	83.99217138	constituent
18	91.8882325	constituent
